source_file,rank,title,year,rating,votes,error_reason
data/imdb_movie_dataset.csv,8,Mindhorn,2016,6.4,2490,Missing Revenue
data/imdb_movie_dataset.csv,23,Hounds of Love,2016,6.7,1115,Missing Revenue
data/imdb_movie_dataset.csv,26,Paris pieds nus,2016,6.8,222,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,27,Bahubali: The Beginning,2015,8.3,76193,Missing Metascore
data/imdb_movie_dataset.csv,28,Dead Awake,2016,4.7,523,Missing Metascore
data/imdb_movie_dataset.csv,40,5- 25- 77,2007,7.1,241,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,43,Don't Fuck in the Woods,2016,2.7,496,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,48,Fallen,2016,5.6,5103,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,50,The Last Face,2016,3.7,987,Missing Revenue
data/imdb_movie_dataset.csv,62,The Autopsy of Jane Doe,2016,6.8,35870,Missing Revenue
data/imdb_movie_dataset.csv,71,The Promise,2016,5.9,149791,Missing Revenue
data/imdb_movie_dataset.csv,104,Contratiempo,2016,7.9,7204,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,109,All We Had,2016,5.8,1004,Missing Revenue
data/imdb_movie_dataset.csv,113,The Bad Batch,2016,6.1,512,Missing Revenue
data/imdb_movie_dataset.csv,118,Dangal,2016,8.8,48969,Missing Metascore
data/imdb_movie_dataset.csv,124,Boyka: Undisputed IV,2016,7.4,10428,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,140,Brimstone,2016,7.1,13004,Missing Revenue
data/imdb_movie_dataset.csv,155,Twin Peaks: The Missing Pieces,2014,8.1,1973,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,161,Mine,2016,6,5926,Missing Revenue
data/imdb_movie_dataset.csv,173,Beyond the Gates,2016,5.2,2127,Missing Revenue
data/imdb_movie_dataset.csv,184,Realive,2016,5.9,1176,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,186,Love,2015,6,24003,Missing Revenue
data/imdb_movie_dataset.csv,192,Below Her Mouth,2016,5.6,1445,Missing Revenue
data/imdb_movie_dataset.csv,197,Hacker,2016,6.3,3799,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,210,The Girl with All the Gifts,2016,6.7,23713,Missing Revenue
data/imdb_movie_dataset.csv,214,Old Boy,2013,5.8,54679,Missing Revenue
data/imdb_movie_dataset.csv,219,A Dark Song,2016,6.1,1703,Missing Revenue
data/imdb_movie_dataset.csv,230,Rupture,2016,4.8,2382,Missing Revenue
data/imdb_movie_dataset.csv,270,Satanic,2016,3.7,2384,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,275,Ballerina,2016,6.8,4729,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,283,Death Proof,2007,7.1,220236,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,290,Iris,2016,6.1,726,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,294,The Exception,2016,7.7,96,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,308,Vincent N Roxxy,2016,5.5,403,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,318,The Stakelander,2016,5.3,1263,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,336,Before I Wake,2016,6.1,18201,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,338,Tracktown,2016,5.9,115,Missing Revenue
data/imdb_movie_dataset.csv,351,Lady Macbeth,2016,7.3,1396,Missing Revenue
data/imdb_movie_dataset.csv,357,Demain tout commence,2016,7.4,5496,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,368,American Wrestler: The Wizard,2016,6.9,286,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,383,Hush,2016,6.6,45867,Missing Revenue
data/imdb_movie_dataset.csv,394,Whisky Galore,2016,5,102,Missing Revenue
data/imdb_movie_dataset.csv,399,Absolutely Anything,2015,6,26587,Missing Revenue
data/imdb_movie_dataset.csv,402,The Black Room,2016,3.9,240,Missing Revenue
data/imdb_movie_dataset.csv,403,Bronson,2008,7.1,93972,Missing Metascore
data/imdb_movie_dataset.csv,414,Elle,2016,7.2,35417,Missing Revenue
data/imdb_movie_dataset.csv,417,The Headhunter's Calling,2016,6.9,164,Missing Revenue
data/imdb_movie_dataset.csv,418,Atonement,2007,7.8,202890,Missing Metascore
data/imdb_movie_dataset.csv,429,Srpski film,2010,5.2,43648,Missing Revenue
data/imdb_movie_dataset.csv,430,The Purge: Election Year,2016,6,54216,Missing Metascore
data/imdb_movie_dataset.csv,435,Let Me Make You a Martyr,2016,6.4,223,Missing Revenue
data/imdb_movie_dataset.csv,436,Filth,2013,7.1,81301,Missing Metascore
data/imdb_movie_dataset.csv,440,Folk Hero & Funny Guy,2016,5.6,220,Missing Revenue
data/imdb_movie_dataset.csv,445,The Thinning,2016,6,4531,Missing Revenue
data/imdb_movie_dataset.csv,446,Silent Hill,2006,6.6,184152,Missing Metascore
data/imdb_movie_dataset.csv,464,Predestination,2014,7.5,187760,Missing Revenue
data/imdb_movie_dataset.csv,478,Pet,2016,5.7,8404,Missing Revenue
data/imdb_movie_dataset.csv,479,Paint It Black,2016,8.3,61,Missing Revenue
data/imdb_movie_dataset.csv,480,Macbeth,2015,6.7,41642,Missing Revenue
data/imdb_movie_dataset.csv,484,Perfetti sconosciuti,2016,7.7,17584,Missing Revenue
data/imdb_movie_dataset.csv,485,Angry Birds,2016,6.3,55781,Missing Metascore
data/imdb_movie_dataset.csv,503,Imperium,2016,6.5,27428,Missing Revenue
data/imdb_movie_dataset.csv,505,Mr. Nobody,2009,7.9,166872,Missing Revenue
data/imdb_movie_dataset.csv,506,City of Tiny Lights,2016,5.7,291,Missing Revenue
data/imdb_movie_dataset.csv,515,Magic Mike XXL,2015,5.7,42506,Missing Revenue
data/imdb_movie_dataset.csv,524,Whiskey Tango Foxtrot,2016,6.6,36156,Missing Revenue; Missing Metascore
